,JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
289,0,2003-04-14,1,83,2,1,2,3,3,2,3,2,0
290,0,2000-05-28,3,34,2,1,2,1,1,1,1,2,0
291,0,2000-04-14,0,2,4,1,1,1,2,1,1,1,0
292,0,2002-11-05,0,67,2,1,1,12,3,4,3,3,0
293,0,1999-10-31,4,7,2,1,8,12,2,8,0,2,0
294,0,2000-11-16,0,16,4,1,2,1,2,1,2,2,0
295,0,2001-06-22,11,7,4,1,1,1,2,1,3,2,4
296,1,2005-02-10,0,115,2,1,1,1,3,1,0,0,1
297,1,1996-11-08,44,116,2,1,2,3,2,2,1,2,0
298,1,2001-08-15,0,10,4,1,0,2,2,2,2,2,0
299,1,2001-11-07,0,51,4,1,2,1,2,2,2,3,0
300,0,2004-01-04,45,117,2,1,0,1,3,4,10,2,0
301,0,2005-02-24,46,118,2,1,0,1,3,1,0,2,0
302,0,2001-10-11,10,119,4,1,3,3,2,3,5,2,1
303,0,2004-02-08,0,35,0,4,0,3,1,2,3,3,0
304,0,2002-04-05,0,54,4,1,0,1,2,1,0,2,0
305,0,1999-03-07,0,35,2,1,3,0,2,3,0,2,0
306,1,2000-09-05,1,97,3,1,4,5,2,5,6,2,0
307,1,2002-09-23,4,56,4,1,1,7,2,1,5,2,0
308,1,2002-07-17,47,7,4,1,2,3,2,2,1,1,0
309,0,2005-07-16,48,114,2,1,0,3,2,4,4,2,1
310,1,2002-06-14,49,120,4,1,0,1,2,1,0,2,0
311,0,2000-05-30,3,8,3,1,2,3,1,2,3,3,0
312,1,1999-06-27,4,7,2,1,8,12,2,1,0,2,0
313,0,2002-04-30,0,10,2,1,1,12,2,1,1,1,0
314,0,2000-05-08,0,2,2,1,2,5,2,1,1,2,3
315,1,1997-06-23,4,7,0,3,2,2,2,2,1,2,0
316,1,2003-09-10,1,33,0,1,0,1,2,4,0,2,0
317,1,1997-11-29,4,7,0,3,2,1,2,2,1,2,0
318,1,1999-02-11,4,7,2,1,2,3,2,2,1,2,1
319,1,1999-06-22,4,26,2,1,1,1,2,1,0,2,0
320,0,1998-05-30,0,10,2,1,2,1,2,2,0,2,0
321,1,1999-02-24,4,34,2,1,0,2,2,2,3,2,1
322,1,2001-07-03,50,8,2,1,2,3,3,2,3,3,0
323,1,2002-07-21,4,8,4,1,2,3,2,2,3,3,0
324,0,2001-12-30,4,7,2,1,2,0,1,2,4,3,0
325,1,2003-05-29,0,83,2,1,0,3,2,2,3,3,0
326,1,2004-11-11,0,121,2,1,2,3,2,4,11,1,0
327,0,1999-09-15,0,16,2,1,0,2,2,1,2,2,0
328,1,2001-01-05,0,5,2,1,0,2,1,1,1,2,0
329,1,2003-10-11,51,122,2,1,1,1,3,2,3,3,0
330,1,1997-07-27,4,7,0,3,0,1,2,1,0,2,0
331,1,2003-02-28,3,8,0,1,0,3,2,2,3,4,0
332,0,2003-03-03,1,28,2,1,1,1,3,1,2,2,0
333,0,2001-09-25,0,2,2,1,0,3,2,2,2,2,0
334,0,2004-03-27,1,47,0,5,2,15,2,4,5,2,0
335,0,2004-02-28,0,85,2,1,1,1,2,4,1,1,1
336,0,1997-11-09,0,5,0,3,2,2,2,2,1,2,0
337,1,2002-12-28,0,97,2,1,1,1,2,1,0,3,1
338,0,2003-03-06,4,7,2,1,2,1,3,5,1,1,0
339,0,2004-07-23,4,123,0,3,0,0,3,4,4,3,1
340,0,1999-06-10,4,8,2,1,2,3,2,2,3,4,0
341,0,2000-01-30,15,46,3,1,4,5,2,5,0,3,0
342,0,1998-02-01,0,51,2,1,1,13,2,4,1,2,0
343,1,2006-07-09,4,34,0,1,0,2,1,2,1,1,1
344,0,2005-08-06,52,124,0,3,1,1,2,4,1,1,1
345,0,2004-02-07,0,14,0,4,3,2,1,3,5,3,0
346,1,2003-04-27,1,35,2,1,1,1,3,1,0,2,0
347,0,2004-05-26,0,83,2,1,2,3,1,2,3,3,0
348,0,2003-08-13,3,8,2,1,0,7,2,2,5,2,0
349,0,2005-04-16,17,125,4,1,2,6,5,1,1,1,0
350,1,2003-08-19,4,26,2,1,0,1,2,1,0,3,0
351,0,1998-10-17,4,8,2,1,2,3,1,2,3,2,0
352,1,2003-11-19,5,53,0,1,2,3,1,2,5,3,0
353,0,2002-03-15,53,126,4,1,9,13,3,4,4,2,0
354,0,2001-09-28,0,5,4,1,0,2,2,2,1,1,0
355,0,1999-10-24,14,127,2,1,2,3,1,2,3,2,0
356,0,2003-02-08,1,5,2,1,2,2,1,1,0,2,0
357,1,2002-02-17,1,33,2,1,0,1,2,1,0,2,0
358,1,2005-02-10,0,1,2,1,0,3,2,1,3,3,0
359,0,2003-08-08,0,29,2,1,6,0,2,8,8,0,0
360,0,1997-02-14,0,1,0,3,2,2,2,2,4,2,0
361,0,1997-10-07,0,1,0,3,2,1,2,1,3,2,0
362,0,2004-04-07,54,43,0,4,5,13,3,0,5,3,0
363,0,2000-10-07,3,8,2,1,0,7,1,2,5,3,0
364,1,2003-06-08,3,7,2,1,0,2,2,1,3,2,0
365,0,1997-10-27,4,8,2,1,2,0,2,2,3,2,0
366,1,2001-05-20,4,8,3,1,4,5,2,5,6,3,0
367,1,1999-08-15,4,8,2,1,2,3,2,2,3,2,1
368,1,2005-03-24,12,128,2,1,0,3,2,1,3,2,0
369,1,2001-07-07,0,16,4,1,0,2,2,2,5,2,1
370,1,1999-03-26,3,7,2,1,4,3,2,5,1,2,1
371,1,2002-08-06,0,2,4,1,1,1,2,3,0,3,0
372,1,1998-05-04,4,7,2,1,0,3,2,1,3,2,0
373,1,2005-02-16,0,64,2,1,1,1,3,1,1,1,0
374,0,1997-08-30,0,5,0,3,0,2,2,3,0,2,0
375,0,1999-11-25,4,8,2,1,4,0,2,2,1,2,0
376,0,1997-08-06,0,129,2,1,1,1,2,4,1,2,1
377,0,2001-07-26,11,8,3,1,4,3,1,2,3,3,1
378,1,2003-01-31,4,8,0,1,2,3,2,2,3,2,0
379,1,2005-08-29,4,130,2,1,1,1,2,4,0,2,0
380,0,2001-11-07,6,11,4,1,1,1,2,4,3,2,1
381,0,2003-11-01,1,131,0,4,1,1,3,4,6,1,0
382,0,2007-05-02,55,132,0,3,1,2,4,4,2,4,1
383,0,2004-05-31,0,2,2,1,3,1,2,3,0,2,0
384,0,1997-07-27,0,1,0,1,2,5,2,3,1,2,0
385,1,1999-08-29,4,8,2,1,2,2,4,2,1,2,0
386,0,1998-01-12,21,133,2,1,2,1,1,2,1,2,0
387,1,2005-05-18,4,134,4,1,0,1,2,2,1,1,0
388,0,2003-08-06,4,7,2,1,2,2,2,1,3,3,0
389,1,2001-10-29,3,7,2,1,1,1,3,1,1,3,0
390,1,2000-05-31,0,2,2,1,2,6,2,3,1,2,0
391,0,2005-01-27,1,10,0,4,0,1,1,1,0,3,1
392,1,2003-09-22,0,2,2,1,0,1,2,1,0,2,0
393,1,2003-10-05,1,35,2,1,2,3,1,2,3,4,0
394,0,2000-08-09,4,7,2,1,1,0,2,5,2,2,0
395,1,2003-05-28,3,135,2,1,1,0,2,1,6,3,0
396,1,1997-08-21,0,34,2,1,2,2,2,2,0,2,0
397,1,2002-07-15,4,7,2,1,2,0,2,2,10,2,0
398,0,2000-01-25,4,26,2,1,5,12,2,1,1,2,1
399,0,1999-03-20,0,1,2,1,0,3,2,4,1,2,0
400,0,2000-05-06,4,8,2,1,0,1,2,2,5,3,0
401,0,1998-12-31,0,1,2,1,4,2,2,5,1,2,0
402,0,1999-05-21,4,8,2,1,2,1,2,2,3,2,0
403,0,2001-07-25,56,5,4,1,2,2,2,2,2,2,1
404,1,1999-04-17,57,136,2,1,1,0,2,1,4,2,0
