,JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
386,0,2003-08-06,2,7,2,1,2,2,2,1,3,3,0
387,1,2001-10-29,2,7,2,1,1,1,3,1,1,3,0
388,1,2000-05-31,0,2,2,1,2,6,2,3,1,2,0
389,0,2005-01-27,0,10,0,4,0,1,1,1,0,3,1
390,1,2003-09-22,0,2,2,1,0,1,2,1,0,2,0
391,1,2003-10-05,0,35,2,1,2,3,1,2,3,4,0
392,0,2000-08-09,2,7,2,1,1,0,2,5,2,2,0
393,1,2003-05-28,2,135,2,1,1,0,2,1,6,3,0
394,1,1997-08-21,0,34,2,1,2,2,2,2,0,2,0
395,1,2002-07-15,2,7,2,1,2,0,2,2,10,2,0
396,0,2000-01-25,2,26,2,1,5,12,2,1,1,2,1
397,0,1999-03-20,0,1,2,1,0,3,2,4,1,2,0
398,0,2000-05-06,2,8,2,1,0,1,2,2,5,3,0
399,0,1998-12-31,0,1,2,1,4,2,2,5,1,2,0
400,0,1999-05-21,2,8,2,1,2,1,2,2,3,2,0
401,0,2001-07-25,16,5,4,1,2,2,2,2,2,2,1
402,1,1999-04-17,44,136,2,1,1,0,2,1,4,2,0
