JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,2003-08-30,SRAGEN,Pangkalan Banteng,Bersama orang tua,Jalan kaki,SMA / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2001-06-25,SEMARANG,Ngaliyan,Asrama,Jalan kaki,D3,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,PNS/TNI/Polri,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-02-14,JEPARA,Pakis Aji,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-07-24,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-04-13,SEMARANG,Mijen,Asrama,Jalan kaki,Putus SD,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1997-10-30,KENDAL,Singorojo,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-04-11,KENDAL,Boja,Rumah Tinggal,Jalan kaki,Tidak sekolah,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,1998-07-19,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2002-11-23,SEMARANG,Semarang Utara,Bersama orang tua,Angkutan umum/bus/pete-pete,SMP / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Putus SD,Tidak bekerja,Tidak Berpenghasilan,Mutasi
P,1998-10-01,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,1998-04-29,KENDAL,Limbangan,Asrama,Jalan kaki,SD / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-03-03,SEMARANG,Semarang Barat,Asrama,Jalan kaki,Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2006-01-29,Kendal,Tanjungmojo,Bersama orang tua,Sepeda,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Lainnya,"Rp. 500,000 - Rp. 999,999",Lulus
L,1996-12-10,KENDAL,Patebon,Asrama,Jalan kaki,Tidak sekolah,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-04-19,Temanggung,Parakan,Asrama,Jalan kaki,Tidak sekolah,Buruh,"Rp. 500,000 - Rp. 999,999",Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2002-01-18,Indramayu,Arahan,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1995-04-13,TEGAL,Balapulang,Lainnya,Sepeda motor,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2002-09-28,Semarang,Genuk,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
P,2002-10-21,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Tidak dapat diterapkan,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2002-10-07,Kendal,Limbangan,Bersama orang tua,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
